applicant_idx,default_probability,decision,reasons
0,0.021999555,APPROVE,[]
1,0.09029764,APPROVE,[]
2,0.004236535,APPROVE,[]
3,0.0015808684,APPROVE,[]
4,0.009698625,APPROVE,[]
5,0.029728286,APPROVE,[]
6,0.038186915,APPROVE,[]
7,0.032099906,APPROVE,[]
8,0.00019078988,APPROVE,[]
9,0.09473155,APPROVE,[]
10,0.003049435,APPROVE,[]
11,0.5016567,DENY,"['Loan-to-value ratio too high', 'Insufficient credit score', 'Insufficient length of employment history', 'Insufficient income relative to loan amount']"
12,0.0060324045,APPROVE,[]
13,0.0033272298,APPROVE,[]
14,0.2840706,APPROVE,[]
15,0.0069573224,APPROVE,[]
16,0.019839887,APPROVE,[]
17,0.026492171,APPROVE,[]
18,0.036797866,APPROVE,[]
19,0.13825127,APPROVE,[]
20,0.0792699,APPROVE,[]
21,0.027417453,APPROVE,[]
22,0.12637374,APPROVE,[]
23,0.15053776,APPROVE,[]
24,0.0053083366,APPROVE,[]
25,0.31397924,APPROVE,[]
26,0.17793006,APPROVE,[]
27,0.0015048598,APPROVE,[]
28,0.009895316,APPROVE,[]
29,0.006593225,APPROVE,[]
30,0.1327987,APPROVE,[]
31,0.07223124,APPROVE,[]
32,0.15943909,APPROVE,[]
33,0.03338938,APPROVE,[]
34,0.048244324,APPROVE,[]
35,0.04167072,APPROVE,[]
36,0.17113821,APPROVE,[]
37,0.047979042,APPROVE,[]
38,0.09482476,APPROVE,[]
39,0.010993572,APPROVE,[]
40,0.0588842,APPROVE,[]
41,0.024150906,APPROVE,[]
42,0.007365079,APPROVE,[]
43,0.014051836,APPROVE,[]
44,0.03671118,APPROVE,[]
45,0.12419022,APPROVE,[]
46,0.00292411,APPROVE,[]
47,0.18893021,APPROVE,[]
48,0.018842379,APPROVE,[]
49,0.0014132431,APPROVE,[]
50,0.004304854,APPROVE,[]
51,0.10628926,APPROVE,[]
52,0.060606636,APPROVE,[]
53,0.01365918,APPROVE,[]
54,0.04974461,APPROVE,[]
55,0.2533618,APPROVE,[]
56,0.006350444,APPROVE,[]
57,0.0034170665,APPROVE,[]
58,0.04434382,APPROVE,[]
59,0.07212106,APPROVE,[]
60,0.014110277,APPROVE,[]
61,0.0047365734,APPROVE,[]
62,0.0055653364,APPROVE,[]
63,0.051375214,APPROVE,[]
